taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914155		914154	Protostomia		Animalia										infrakingdom	valid	2017-06-28		914155			Animalia|Bilateria
914158		914155	Ecdysozoa		Animalia										superphylum	valid	2013-11-04		914158			Animalia|Bilateria|Protostomia
82696		914158	Arthropoda		Animalia										phylum	valid	2013-12-23		82696			Animalia|Bilateria|Protostomia|Ecdysozoa
83677		82696	Crustacea Brünnich, 1772	Brünnich, 1772	Animalia	Arthropoda									subphylum	valid	2013-11-04		83677			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda
89787		83677	Malacostraca Latreille, 1802	Latreille, 1802	Animalia	Arthropoda									class	valid	2013-11-04		89787			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea
89801		89787	Eumalacostraca Grobben, 1892	Grobben, 1892	Animalia	Arthropoda	Malacostraca								subclass	valid	2005-07-21		89801			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca
95495		89801	Eucarida Calman, 1904	Calman, 1904	Animalia	Arthropoda	Malacostraca								superorder	valid	2005-02-09		95495			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca
95599		95495	Decapoda Latreille, 1802	Latreille, 1802	Animalia	Arthropoda	Malacostraca								order	valid	2005-01-12		95599			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida
96105		95599	Pleocyemata Burkenroad, 1963	Burkenroad, 1963	Animalia	Arthropoda	Malacostraca	Decapoda							suborder	valid	2005-01-12		96105			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda
98276		96105	Brachyura Latreille, 1802	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	valid	2005-02-02		98276			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
98328	98276		Oxystomata H. Milne Edwards, 1834	H. Milne Edwards, 1834	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	heterotypicSynonym	2005-02-02		98328		NODC: Part.NODC: NODC rank was Section	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
98416	98276		Oxyrhyncha Latreille, 1803	Latreille, 1803	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	heterotypicSynonym	1996-06-24		98416		NODC: Part.NODC: NODC rank was Section	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
98657	98276		Cancridea Latreille, 1803	Latreille, 1803	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	heterotypicSynonym	1996-06-24		98657		NODC: Part.NODC: NODC rank was Section	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
98688	98276		Brachyrhyncha Borradaile, 1907	Borradaile, 1907	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	heterotypicSynonym	1996-06-24		98688		NODC: Part.NODC: NODC rank was Section	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
203687	98276		Dromiacea De Haan, 1833	De Haan, 1833	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	synonym	2003-09-26		203687		J. D. Hardy: section.David Nicolson - ITIS Data Development Coordinator: Martin & Davis (2001) consider this valid as 'Section Dromiacea de Haan, 1833.' ITIS does not support the use of the rank 'section,' so 'Infraorder Dromiacea de Haan, 1833' is placed in synonymy under Infraorder Brachyura	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
206950	98276		Archaeobrachyura Guinot, 1977	Guinot, 1977	Animalia	Arthropoda	Malacostraca	Decapoda							infraorder	synonym	2003-09-26		206950		J. D. Hardy: section.David Nicolson - ITIS Data Development Coordinator: Martin & Davis (2001) note that while Archaeobrachyura has been used as at 'section' and 'subsection' ranks, and in various ways, they do not use this name. The closest corresponding group they use is 'Subsection Raninoida.' ITIS does not support the use of either of these ranks, so Archaeobrachyura is placed in synonymy under Infraorder Brachyura	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata
206958		98276	Cancroidea Latreille, 1802	Latreille, 1802	Animalia	Arthropoda	Malacostraca	Decapoda							superfamily	valid	2005-02-02		206958			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Crustacea|Malacostraca|Eumalacostraca|Eucarida|Decapoda|Pleocyemata|Brachyura
