taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
202423			Animalia												kingdom	valid	1999-10-27		202423			
914154		202423	Bilateria		Animalia										subkingdom	valid	2017-06-28		914154			Animalia
914155		914154	Protostomia		Animalia										infrakingdom	valid	2017-06-28		914155			Animalia|Bilateria
914158		914155	Ecdysozoa		Animalia										superphylum	valid	2013-11-04		914158			Animalia|Bilateria|Protostomia
82696		914158	Arthropoda		Animalia										phylum	valid	2013-12-23		82696			Animalia|Bilateria|Protostomia|Ecdysozoa
82697		82696	Chelicerata		Animalia	Arthropoda									subphylum	valid	2019-11-04		82697			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda
1117839		82697	Euchelicerata		Animalia	Arthropoda									class	valid	2019-11-04		1117839			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata
1117840		1117839	Arachnida		Animalia	Arthropoda	Euchelicerata								subclass	valid	2020-07-26		1117840			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata
82708	1117840		Arachnida		Animalia	Arthropoda	Euchelicerata								class	synonym	2020-07-26		82708		David Nicolson - ITIS Data Development Coordinator: Arachnida is changed from a class to a subclass in ITIS in order to accomodate class Euchelicerata (Arachnida + Xiphosura), per publications such as G. Giribet & G. Hormiga in Brusca et al. (2016), and G. Giribet (2018)	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata
82754	1117840		Acarina		Animalia	Arthropoda	Euchelicerata								subclass	synonym	2019-11-04		82754		David Nicolson - ITIS Data Development Coordinator: Acari and Acarina have both been used for a taxon composed of the arachnid subgroups Opilioacariformes, Parasitiformes, and Acariformes. It was not used in the classification of Ruggiero et al. (2015)	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata
733321	1117840		Acari		Animalia	Arthropoda	Euchelicerata								subclass	synonym	2019-11-04		733321		David Nicolson - ITIS Data Development Coordinator: Acari and Acarina have both been used for a taxon composed of the arachnid subgroups Opilioacariformes, Parasitiformes, and Acariformes. It was not used in the classification of Ruggiero et al. (2015)	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata
82758		1117840	Parasitiformes		Animalia	Arthropoda	Euchelicerata								superorder	valid	2019-11-04		82758			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida
733323		82758	Ixodida		Animalia	Arthropoda	Euchelicerata								order	valid	2019-11-04		733323			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes
1117897		733323	Ixodoidea		Animalia	Arthropoda	Euchelicerata	Ixodida							superfamily	valid	2019-11-04		1117897			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida
82765	1117897		Ixodides		Animalia	Arthropoda	Euchelicerata	Ixodida							suborder	synonym	2019-11-04		82765		David Nicolson - ITIS Data Development Coordinator: The tick families (Argasidae, Nuttalliellidae and Ixodidae) are currently placed in superfamily Ixodoidea, rather than suborder Ixodides	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida
82766		1117897	Ixodidae		Animalia	Arthropoda	Euchelicerata	Ixodida	Ixodoidea						family	valid	2019-11-04		82766			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida|Ixodoidea
1116985		82766	Dermacentor Koch, 1844	Koch, 1844	Animalia	Arthropoda	Euchelicerata	Ixodida	Ixodoidea	Ixodidae					genus	valid	2019-11-04		1116985			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida|Ixodoidea|Ixodidae
1117782	1116985		Dermacentor rosmari Ass, 1935	Ass, 1935	Animalia	Arthropoda	Euchelicerata	Ixodida	Ixodoidea	Ixodidae	Dermacentor		rosmari		species	synonym	2019-11-04		1117782			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida|Ixodoidea|Ixodidae
1117171		1116985	Dermacentor variabilis (Say, 1821)	(Say, 1821)	Animalia	Arthropoda	Euchelicerata	Ixodida	Ixodoidea	Ixodidae	Dermacentor		variabilis		species	valid	2019-11-04		1117171			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida|Ixodoidea|Ixodidae|Dermacentor
1117789	1117171		Ixodes variabilis Say, 1821	Say, 1821	Animalia	Arthropoda	Euchelicerata	Ixodida	Ixodoidea	Ixodidae	Ixodes		variabilis		species	homotypicSynonym	2019-11-04		1117789			Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Chelicerata|Euchelicerata|Arachnida|Parasitiformes|Ixodida|Ixodoidea|Ixodidae|Dermacentor
