taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
584940	951282		Myoxidae Gray, 1821	Gray, 1821	Animalia	Chordata	Mammalia	Rodentia							family	heterotypicSynonym	2014-10-27		584940			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
951283	951282		Glirini Muirhead, 1819	Muirhead, 1819	Animalia	Chordata	Mammalia	Rodentia							family	homotypicSynonym	2014-10-27		951283			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
951284	951282		Leithiidae Lydekker, 1895	Lydekker, 1895	Animalia	Chordata	Mammalia	Rodentia							family	heterotypicSynonym	2014-10-27		951284			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
951285	951282		Muscardinidae Palmer, 1899	Palmer, 1899	Animalia	Chordata	Mammalia	Rodentia							family	heterotypicSynonym	2014-10-27		951285			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
951286	951282		Myosidae Gray, 1821	Gray, 1821	Animalia	Chordata	Mammalia	Rodentia							family	synonym	2014-10-27		951286		David Nicolson - ITIS Data Development Coordinator: Original formation of what was later corrected to Myoxidae Gray 1821	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
951287	951282		Seleviniidae Belosludov and Bazhanov, 1939	Belosludov and Bazhanov, 1939	Animalia	Chordata	Mammalia	Rodentia							family	heterotypicSynonym	2014-10-27		951287			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha
584942		951282	Leithiinae Lydekker, 1896	Lydekker, 1896	Animalia	Chordata	Mammalia	Rodentia		Gliridae					subfamily	valid	2014-10-27		584942		Wilson & Reeder, eds. (2005): Comments: Lydekker (1895) proposed Leithiidae to separate the giant Pleistocene dormouse of Malta from other glirids, and Leithia for the type genus. Major (1899) argued that Leithia was in fact a glirid, and Leithiidae a junior synonym of Gliridae. De Bruijn (1967) proposed Dryomyinae, which included Leithia, Dryomys, Eliomys, and other genera. The International Commission on Zoological Nomenclature (1999:45) mandates that when a nominal taxon is lowered in rank in the family group, its type genus r...	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha|Gliridae
584948		584942	Muscardinus Kaup, 1829	Kaup, 1829	Animalia	Chordata	Mammalia	Rodentia		Gliridae					genus	valid	2014-10-27		584948		Wilson & Reeder, eds. (2005): Comments: Kratochvil (1973) proposed to place Muscardinus in its own subfamily, Muscardininae, based on the uniquely derived stomach anatomy, molar morphology, and phallic features. De Bruijn (1967) and Daams (1981) both included Muscardinus in the Glirinae based on dental morphology. This arrangement was supported by the results of Wahlert et al. (1993). However, phylogenetic analyses of nuclear DNA fragments and mitochondrial 12S rRNA sequences clearly identified Muscardinus as a member of Leithiin...	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha|Gliridae|Leithiinae
584974		584948	Muscardinus avellanarius (Linnaeus, 1758)	(Linnaeus, 1758)	Animalia	Chordata	Mammalia	Rodentia		Gliridae	Muscardinus		avellanarius		species	valid	2014-10-27		584974		Wilson & Reeder, eds. (2005): Status: IUCN - Lower Risk (nt).Wilson & Reeder, eds. (2005): Comments: Comprehensive review of M. avellanarius, including illustrations of live animal, distributional, morphological, ecological, behavioral and other characteristics, contributed by Rossolimo et al. (2001). Systematic study of W and C European subspecies provided by Witte (1962) and Roesler and Witte (1969), and of Turkish subspecies by Kivanc (1983). Morphometric study of Bulgarian populations reported by Peshev et al. (1990a) and Peshev and Delov (1995b). Comparison of dental pattern with foss...	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha|Gliridae|Leithiinae|Muscardinus
951328	584974		Mus corilinum Fatio, 1869	Fatio, 1869	Animalia	Chordata	Mammalia	Rodentia		Gliridae	Mus		corilinum		species	heterotypicSynonym	2014-10-27		951328			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Rodentia|Sciuromorpha|Gliridae|Leithiinae|Muscardinus
