,taxonID,acceptedNameUsageID,parentNameUsageID,scientificName,scientificNameAuthorship,kingdom,phylum,class,order,superfamily,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,modified,namePublishedIn,scientificNameID,verbatimTaxonRank,taxonRemarks,higherClassification
2188,572877,,572792.0,"Lepilemur microdon (Forsyth Major in Forbes, 1894)","(Forsyth Major in Forbes, 1894)",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Lepilemuridae,Lepilemur,,microdon,,species,valid,2021-03-29,,572877,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Lower Risk (nt).S.N. Alexander, ITIS Data Development Specialist: The author for Lepilemur microdon was previously cited in ITIS as (Forbes, 1894); the original combination Lepidolemur microdon, published in A Hand-book to the Primates by Forbes (1894), was credited to Forsyth Major",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur
2189,572878,,572792.0,"Lepilemur mustelinus I. Geoffroy Saint-Hilaire, 1851","I. Geoffroy Saint-Hilaire, 1851",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Lepilemuridae,Lepilemur,,mustelinus,,species,valid,2021-03-29,,572878,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur
2190,572879,,572792.0,"Lepilemur ruficaudatus Grandidier, 1867","Grandidier, 1867",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Lepilemuridae,Lepilemur,,ruficaudatus,,species,valid,2021-03-29,,572879,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur
2191,572880,,572792.0,"Lepilemur septentrionalis Rumpler and Albignac, 1975","Rumpler and Albignac, 1975",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Lepilemuridae,Lepilemur,,septentrionalis,,species,valid,2021-03-29,,572880,,"Wilson & Reeder, eds. (2005): Comments:  Does not include L. andrafiamenensis (= L. ankaranensis; Rumpler et al., 2001).Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Vulnerable",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Lepilemuridae|Lepilemur
2192,572881,,572793.0,"Avahi laniger (Gmelin, 1788)","(Gmelin, 1788)",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Indriidae,Avahi,,laniger,,species,valid,2021-03-29,,572881,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Lower Risk (nt)",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Avahi
2193,572882,,572794.0,"Indri indri (Gmelin, 1788)","(Gmelin, 1788)",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Indriidae,Indri,,indri,,species,valid,2021-03-29,,572882,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA and IUCN - Endangered",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Indri
2194,572883,,572795.0,"Propithecus diadema Bennett, 1832","Bennett, 1832",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Indriidae,Propithecus,,diadema,,species,valid,2021-03-29,,572883,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Critically Endangered as P. diadema diadema and P. d. candidus",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Propithecus
2195,572884,,572795.0,"Propithecus tattersalli Simons, 1988","Simons, 1988",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Indriidae,Propithecus,,tattersalli,,species,valid,2021-03-29,,572884,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Critically Endangered",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Propithecus
2196,572885,,572795.0,"Propithecus verreauxi Grandidier, 1867","Grandidier, 1867",Animalia,Chordata,Mammalia,Primates,Lemuroidea,Indriidae,Propithecus,,verreauxi,,species,valid,2021-03-29,,572885,,"Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA - Endangered; IUCN - Vulnerable",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Lemuriformes|Lemuroidea|Indriidae|Propithecus
2197,572886,,572796.0,"Daubentonia madagascariensis (Gmelin, 1788)","(Gmelin, 1788)",Animalia,Chordata,Mammalia,Primates,,Daubentoniidae,Daubentonia,,madagascariensis,,species,valid,2021-03-29,,572886,,"Wilson & Reeder, eds. (2005): Comments:  Type locality of laniger is 'forest of the east'; this seems to be a potentially available name for an eastern subspecies, if recognized. The name D. robusta Lamberton, 1934 was given to subfossil remains; it is not known whether these represent the living aye-aye or a separate, extinct species.Wilson & Reeder, eds. (2005): Status:  CITES - Appendix I; U.S. ESA and IUCN - Endangered",Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Primates|Strepsirrhini|Chiromyiformes|Daubentoniidae|Daubentonia
