taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	scientificNameAuthorship	kingdom	phylum	class	order	superfamily	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	taxonomicStatus	modified	namePublishedIn	scientificNameID	verbatimTaxonRank	taxonRemarks	higherClassification
180608		180594	Urocyon Baird, 1857	Baird, 1857	Animalia	Chordata	Mammalia	Carnivora		Canidae					genus	valid	2015-11-20		180608		Wilson & Reeder, eds. (2005): Comments: Considered a subgenus of Vulpes by Clutton-Brock et al. (1976)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae
180609		180608	Urocyon cinereoargenteus (Schreber, 1775)	(Schreber, 1775)	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus		species	valid	2015-11-20		180609		Wilson & Reeder, eds. (2005): Status: IUCN - Lower Risk (lc).Wilson & Reeder, eds. (2005): Comments: Reviewed by Fritzell and Haroldson (1982). Placed in Canis (Vulpes) by Van Gelder (1978). Synonyms allocated according to Hall (1981) and Fritzell and Haroldson (1982)	Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon
998409	180609		Canis cinereoargenteus Schreber, 1775	Schreber, 1775	Animalia	Chordata	Mammalia	Carnivora		Canidae	Canis		cinereoargenteus		species	homotypicSynonym	2015-11-20		998409			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon
726887		180609	Urocyon cinereoargenteus cinereoargenteus (Schreber, 1775)	(Schreber, 1775)	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	cinereoargenteus	subspecies	valid	2007-08-15		726887			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726888		180609	Urocyon cinereoargenteus borealis Merriam, 1903	Merriam, 1903	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	borealis	subspecies	valid	2007-08-15		726888			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726889		180609	Urocyon cinereoargenteus californicus Mearns, 1897	Mearns, 1897	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	californicus	subspecies	valid	2007-08-15		726889			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726890		180609	Urocyon cinereoargenteus costaricensis Goodwin, 1938	Goodwin, 1938	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	costaricensis	subspecies	valid	2007-08-15		726890			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726891		180609	Urocyon cinereoargenteus floridanus Rhoads, 1895	Rhoads, 1895	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	floridanus	subspecies	valid	2007-08-15		726891			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726892		180609	Urocyon cinereoargenteus fraterculus Elliot, 1896	Elliot, 1896	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	fraterculus	subspecies	valid	2007-08-15		726892			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726893		180609	Urocyon cinereoargenteus furvus G. M. Allen and Barbour, 1923	G. M. Allen and Barbour, 1923	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	furvus	subspecies	valid	2007-08-15		726893			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726894		180609	Urocyon cinereoargenteus guatemalae Miller, 1899	Miller, 1899	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	guatemalae	subspecies	valid	2007-08-15		726894			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726895		180609	Urocyon cinereoargenteus madrensis Burt and Hooper, 1941	Burt and Hooper, 1941	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	madrensis	subspecies	valid	2007-08-15		726895			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726896		180609	Urocyon cinereoargenteus nigrirostris (Lichtenstein, 1850)	(Lichtenstein, 1850)	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	nigrirostris	subspecies	valid	2007-08-15		726896			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726897		180609	Urocyon cinereoargenteus ocythous Bangs, 1899	Bangs, 1899	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	ocythous	subspecies	valid	2007-08-15		726897			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726898		180609	Urocyon cinereoargenteus orinomus Goldman, 1938	Goldman, 1938	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	orinomus	subspecies	valid	2007-08-15		726898			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726899		180609	Urocyon cinereoargenteus peninsularis Huey, 1928	Huey, 1928	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	peninsularis	subspecies	valid	2007-08-15		726899			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726900		180609	Urocyon cinereoargenteus scottii Mearns, 1891	Mearns, 1891	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	scottii	subspecies	valid	2007-08-15		726900			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726901		180609	Urocyon cinereoargenteus townsendi Merriam, 1899	Merriam, 1899	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	townsendi	subspecies	valid	2007-08-15		726901			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
726902		180609	Urocyon cinereoargenteus venezuelae J. A. Allen, 1911	J. A. Allen, 1911	Animalia	Chordata	Mammalia	Carnivora		Canidae	Urocyon		cinereoargenteus	venezuelae	subspecies	valid	2007-08-15		726902			Animalia|Bilateria|Deuterostomia|Chordata|Vertebrata|Gnathostomata|Tetrapoda|Mammalia|Theria|Eutheria|Carnivora|Caniformia|Canidae|Urocyon|Urocyon cinereoargenteus
